cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
8326b4fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
8326b5fffffffff,26.0,0.0,0.0,2.0,0.0,0.0
8326b6fffffffff,602.0,0.0,0.0,84.0,0.0,0.0
8326c0fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8326c1fffffffff,496.0,0.0,0.0,0.0,0.0,0.0
8326c2fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
8326c3fffffffff,143.0,0.0,0.0,0.0,0.0,0.0
8326c4fffffffff,209.0,3.0,0.0,0.0,0.0,0.0
8326c5fffffffff,249.0,0.0,0.0,0.0,0.0,0.0
8326c6fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8326c8fffffffff,648.0,0.0,0.0,0.0,0.0,0.0
8326c9fffffffff,219.0,0.0,0.0,0.0,0.0,0.0
8326cbfffffffff,46.0,0.0,0.0,0.0,0.0,0.0
8326ccfffffffff,37.0,0.0,0.0,0.0,0.0,0.0
8326cdfffffffff,152.0,0.0,0.0,0.0,0.0,0.0
8326cefffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8326d0fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8326d1fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8326d4fffffffff,223.0,6.0,0.0,2.0,0.0,0.0
8326d5fffffffff,22.0,4.0,0.0,0.0,0.0,0.0
8326d6fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
8326dcfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8326ddfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326e0fffffffff,296.0,9.0,0.0,0.0,0.0,0.0
8326e1fffffffff,184.0,4.0,0.0,0.0,0.0,0.0
8326e2fffffffff,623.0,13.0,0.0,0.0,0.0,0.0
