cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8427537ffffffff,2.0,0.0,0.0,0.0
8427541ffffffff,2.0,0.0,0.0,0.0
8427545ffffffff,4.0,0.0,0.0,0.0
842754dffffffff,1.0,0.0,0.0,0.0
8427551ffffffff,4.0,0.0,0.0,0.0
8427553ffffffff,1.0,0.0,0.0,0.0
8427555ffffffff,1.0,0.0,0.0,0.0
842755bffffffff,14.0,0.0,0.0,0.0
8427561ffffffff,2.0,0.0,0.0,0.0
8427569ffffffff,20.0,0.0,0.0,11.0
842756dffffffff,2.0,0.0,0.0,0.0
8427581ffffffff,14.0,0.0,0.0,0.0
8427585ffffffff,3.0,0.0,0.0,0.0
842758dffffffff,1.0,0.0,0.0,0.0
8427591ffffffff,2.0,0.0,0.0,0.0
8427593ffffffff,17.0,0.0,0.0,1.0
8427595ffffffff,2.0,0.0,0.0,0.0
8427597ffffffff,4.0,0.0,0.0,0.0
842759bffffffff,9.0,0.0,0.0,0.0
842759dffffffff,2.0,0.0,0.0,0.0
84275a1ffffffff,7.0,0.0,0.0,0.0
84275a7ffffffff,2.0,0.0,0.0,0.0
84275b3ffffffff,2.0,0.0,0.0,0.0
84275b5ffffffff,4.0,0.0,0.0,0.0
84275b7ffffffff,2.0,0.0,0.0,0.0
84275b9ffffffff,8.0,0.0,0.0,0.0
84275c7ffffffff,3.0,0.0,0.0,0.0
84275c9ffffffff,1.0,0.0,0.0,0.0
84275cbffffffff,2.0,0.0,0.0,0.0
84275cdffffffff,5.0,0.0,0.0,0.0
84275d1ffffffff,49.0,0.0,0.0,0.0
84275d3ffffffff,40.0,0.0,0.0,0.0
84275d7ffffffff,8.0,0.0,0.0,0.0
84275d9ffffffff,15.0,0.0,0.0,0.0
84275e9ffffffff,1.0,0.0,0.0,0.0
8427631ffffffff,11.0,0.0,0.0,0.0
8427637ffffffff,8.0,0.0,0.0,0.0
842763bffffffff,8.0,0.0,0.0,0.0
8427691ffffffff,6.0,0.0,0.0,0.0
8427693ffffffff,4.0,0.0,0.0,0.0
8427699ffffffff,3.0,0.0,0.0,0.0
84276a1ffffffff,5.0,0.0,0.0,0.0
84276a3ffffffff,1.0,0.0,0.0,1.0
84276a5ffffffff,4.0,0.0,0.0,1.0
84276a7ffffffff,6.0,0.0,0.0,0.0
