cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
843098dffffffff,84.0,0.0,0.0,0.0,0.0,0.0,0.0
8430991ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430995ffffffff,273.0,0.0,0.0,0.0,0.0,0.0,0.0
8430997ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a3ffffffff,13.0,0.0,1.0,0.0,0.0,0.0,0.0
84309a5ffffffff,369.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309abffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84309adffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b9ffffffff,205.0,0.0,0.0,0.0,0.0,0.0,0.0
84309bbffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
84309bdffffffff,37.0,0.0,5.0,0.0,0.0,0.0,0.0
84309c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d3ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d9ffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
84309dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309e1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84309e3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84309e5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84309e7ffffffff,23.0,0.0,1.0,0.0,0.0,0.0,0.0
84309ebffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430a13ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8430a27ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8430a31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430a3bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8430ac5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430acdffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8430b03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430b1bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430b5dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c01ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c05ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c0bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c0dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c13ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c15ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c17ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c19ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c1bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c1dffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c29ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c2bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c2dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c39ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c3bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c41ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c45ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c47ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c49ffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c4bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c4dffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c53ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c61ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c63ffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c65ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c67ffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c69ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c6bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430cb3ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8430ce5ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8430cedffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d03ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d11ffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d15ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d1dffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d39ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d4bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d5bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8430d93ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
8430d95ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
8430d9bffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
8430dbbffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8430dd1ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
8430e01ffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e03ffffffff,113.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e05ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e07ffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e09ffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e0bffffffff,288.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e0dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e11ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e15ffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e17ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e19ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8430e1dffffffff,714.0,0.0,3.0,0.0,0.0,0.0,0.0
