cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
84386a5ffffffff,4.0,0.0,0.0
84386a7ffffffff,4.0,0.0,0.0
84386a9ffffffff,4.0,0.0,0.0
84386abffffffff,4.0,0.0,0.0
84386d3ffffffff,3.0,0.0,0.0
84386e1ffffffff,4.0,0.0,0.0
84386e3ffffffff,23.0,0.0,0.0
84386e9ffffffff,6.0,1.0,0.0
8438757ffffffff,1.0,0.0,0.0
843875bffffffff,1.0,0.0,0.0
8439001ffffffff,13.0,0.0,0.0
8439003ffffffff,4.0,0.0,0.0
8439007ffffffff,67.0,0.0,0.0
843900bffffffff,19.0,0.0,0.0
8439011ffffffff,78.0,0.0,0.0
8439019ffffffff,4.0,0.0,0.0
843901bffffffff,7.0,0.0,0.0
8439029ffffffff,7.0,0.0,0.0
843902dffffffff,28.0,0.0,0.0
8439031ffffffff,2.0,0.0,0.0
8439039ffffffff,105.0,0.0,0.0
843903bffffffff,41.0,0.0,0.0
843903dffffffff,39.0,0.0,0.0
8439053ffffffff,1.0,0.0,0.0
8439057ffffffff,2.0,0.0,0.0
8439063ffffffff,1.0,0.0,0.0
8439081ffffffff,1.0,0.0,0.0
8439089ffffffff,316.0,0.0,0.0
843908bffffffff,76.0,0.0,0.0
843908dffffffff,109.0,0.0,0.0
8439097ffffffff,82.0,0.0,0.0
84390c7ffffffff,22.0,0.0,0.0
84390d5ffffffff,2.0,0.0,0.0
84390e3ffffffff,51.0,0.0,0.0
8439101ffffffff,598.0,5.0,0.0
8439103ffffffff,157.0,2.0,0.0
8439111ffffffff,344.0,17.0,0.0
8439113ffffffff,296.0,4.0,0.0
8439115ffffffff,1418.0,30.0,0.0
8439117ffffffff,148.0,0.0,0.0
8439119ffffffff,2.0,0.0,0.0
843911bffffffff,3.0,0.0,0.0
8439151ffffffff,27.0,0.0,0.0
8439153ffffffff,24.0,0.0,0.0
8439155ffffffff,72.0,1.0,0.0
8439157ffffffff,2.0,0.0,0.0
8439159ffffffff,439.0,0.0,0.0
843915bffffffff,13.0,0.0,0.0
843915dffffffff,45.0,1.0,0.0
8439183ffffffff,14.0,0.0,0.0
8439187ffffffff,8.0,0.0,0.0
8439189ffffffff,15.0,0.0,0.0
843918bffffffff,156.0,0.0,0.0
843918dffffffff,6.0,0.0,0.0
8439195ffffffff,535.0,0.0,0.0
84391a1ffffffff,3.0,0.0,0.0
